year,cars,pop18plus
2010,681,1041
2011,654,1067
2012,688,1079
2013,682,1078
2014,715,1087
2015,716,1059
2016,769,1074
2017,742,1071
2018,695,1043
2019,708,1073
2020,677,1063
2010,986,1447
2011,999,1467
2012,1016,1443
2013,990,1422
2014,1034,1437
2015,1056,1452
2016,1083,1458
2017,1102,1467
2018,1108,1467
2019,1114,1455
2020,1109,1456
2010,706,1218
2011,715,1259
2012,729,1244
2013,722,1245
2014,732,1249
2015,763,1249
2016,772,1247
2017,790,1242
2018,798,1238
2019,801,1247
2020,796,1245
2010,803,1363
2011,821,1383
2012,803,1420
2013,829,1444
2014,863,1455
2015,913,1459
2016,928,1497
2017,914,1500
2018,911,1493
2019,915,1493
2020,908,1493
2010,891,1265
2011,856,1277
2012,897,1236
2013,908,1265
2014,934,1273
2015,1033,1309
2016,987,1283
2017,914,1273
2018,851,1263
2019,848,1250
2020,824,1259
2010,529,1075
2011,561,1060
2012,584,1093
2013,573,1075
2014,599,1083
2015,613,1082
2016,640,1108
2017,630,1137
2018,651,1109
2019,662,1130
2020,645,1127
2010,753,1389
2011,742,1387
2012,740,1380
2013,775,1429
2014,784,1422
2015,826,1429
2016,837,1443
2017,825,1444
2018,828,1434
2019,842,1412
2020,824,1413
2010,735,1305
2011,689,1378
2012,634,1392
2013,632,1419
2014,668,1439
2015,659,1465
2016,704,1477
2017,719,1410
2018,721,1456
2019,753,1460
2020,748,1460
2010,865,1236
2011,863,1224
2012,849,1264
2013,878,1252
2014,871,1253
2015,881,1259
2016,884,1247
2017,847,1217
2018,829,1208
2019,828,1207
2020,806,1212
2010,696,1312
2011,714,1339
2012,693,1328
2013,663,1319
2014,682,1251
2015,675,1249
2016,682,1239
2017,683,1285
2018,687,1247
2019,716,1242
2020,683,1240
2010,842,1243
2011,835,1247
2012,853,1275
2013,846,1287
2014,866,1260
2015,879,1266
2016,887,1261
2017,883,1246
2018,869,1264
2019,889,1247
2020,883,1252
2010,697,1285
2011,666,1343
